3 76
 1 1 1 1 1 1 2 2 2 2 3 3 4 4 4 5 5 6 7 7 7 7 7 8 8 8 9 10 10 11 13 13 13 14 14 15 15 16 17 17 17 18 18 19 19 20 21 21 21 22 22 23 23 24 25 25 25 25 26 26 26 26 27 27 27 27 28 28 29 30 31 31 31 32 32 33
 2 2 3 3 4 10 3 3 4 11 5 10 5 6 7 6 7 8 8 9 10 10 13 9 11 15 11 11 13 14 14 15 17 16 17 16 19 18 18 19 21 20 21 20 23 22 22 23 25 24 25 24 27 26 26 27 30 31 28 29 29 34 28 29 30 31 29 35 34 32 32 33 34 33 34 35
 4 11 6 10 6 11 5 12 5 12 6 12 7 9 9 8 8 9 15 12 12 13 15 11 16 16 12 14 14 16 17 19 19 18 18 20 20 20 21 23 23 22 22 24 24 24 25 27 27 26 26 28 28 28 30 31 33 33 35 30 34 35 29 30 32 32 36 36 36 33 34 36 36 35 35 36
